ASN.,Netname,ASN單位,核發日期
AS7534,SILKERA-NET,新絲路科技股份有限公司,1999-09-28
AS7535,TISNET-NET,協志聯合科技股份有限公司,1999-09-29
AS9674,FETNET-NET,遠傳電信股份有限公司,1999-12-01
AS9676,SAVECOM-NET,宏遠電訊股份有限公司,1999-12-01
AS9680,HINET-NET,中華電信股份有限公司,1999-12-01
AS9679,IONET-NET,台灣愛鷗網股份有限公司,2000-03-23
AS9681,TWAREN-NET,國家高速網路與計算中心,2000-10-09
AS9918,KGT-NET,和宇寬頻網路股份有限公司,2000-10-11
AS9921,TFN-NET,台灣固網股份有限公司,2000-10-11
AS9924,TFN-NET,台灣固網股份有限公司,2000-12-30
AS17416,DWINS-NET,敦緯數位服務股份有限公司,2000-12-30
AS17417,DYXNET-NET,香港商第一線有限公司台灣分公司,2000-12-30
AS17419,HINET-NET,中華電信股份有限公司,2000-12-30
AS17421,EMOME-NET,中華電信股份有限公司,2000-12-30
AS7532,GAMANIA-NET,遊戲橘子數位科技股份有限公司,2001-02-19
AS7539,NBEN-NET,國家高速網路與計算中心,2001-05-16
AS7482,APOL-NET,亞太電信股份有限公司,2001-07-20
AS9919,NCICNET-NET,新世紀資通股份有限公司,2001-10-02
AS17709,APOL-NET,亞太電信股份有限公司,2001-10-29
AS17710,PIINET-NET,統一資訊股份有限公司,2001-10-31
AS17711,TANET-NET,教育部,2001-10-31
AS17712,TANET-NET,教育部,2001-10-31
AS17713,TANET-NET,教育部,2001-10-31
AS17714,HINET-NET,中華電信股份有限公司,2001-10-31
AS17715,HINET-NET,中華電信股份有限公司,2001-10-31
AS17716,TANET-NET,教育部,2001-10-31
AS17717,TANET-NET,教育部,2001-10-31
AS4780,NCICNET-NET,新世紀資通股份有限公司,2001-11-23
AS18045,SINOPAC-NET,永豐金融控股股份有限公司,2001-12-12
AS18042,KBT-NET,中嘉和網股份有限公司,2001-12-13
AS18043,GETOP-NET,堅達資訊實業股份有限公司,2002-01-23
AS18044,KINGNET-NET,今網資訊科技股份有限公司,2002-02-01
AS18049,TINP-NET,台灣基礎開發科技股份有限公司,2002-02-06
AS18047,TANET-NET,教育部,2002-03-11
AS18177,TANET-NET,教育部,2002-06-06
AS18179,MITACMDC-NET,神通資訊科技股份有限公司,2002-07-15
AS18181,NHRI-NET,國家衛生研究院,2002-07-31
AS18182,SONET-NET,台灣碩網網路娛樂股份有限公司,2002-08-15
AS18183,NCREE-NET,國家地震工程研究中心,2002-10-23
AS18184,HINET-NET,中華電信股份有限公司,2002-11-25
AS18185,TANET-NET,教育部,2002-11-25
AS18410,104IT-NET,一零四資訊科技股份有限公司,2003-03-13
AS18411,EDTNS-NET,易達通網路系統有限公司,2003-05-16
AS10135,EASPNET-NET,數位通國際網路股份有限公司,2003-08-06
AS4781,PAGIC-NET,宏碁股份有限公司,2003-08-28
AS4782,GSN-NET,國家發展委員會,2003-08-28
AS4783,SYSNET-NET,精誠資訊股份有限公司,2003-08-28
AS7481,HINET-NET,中華電信股份有限公司,2003-09-01
AS18417,twnic-net,台灣網路資訊中心,2003-09-01
AS18418,twnic-net,台灣網路資訊中心,2003-09-01
AS18412,FETNET-NET,遠傳電信股份有限公司,2003-09-16
AS18413,GTBC-NET,大台北寬頻網路股份有限公司,2003-09-24
AS18415,BWIZ-NET,正源科技股份有限公司,2003-10-02
AS9916,TANET-NET,教育部,2003-12-12
AS18419,SIGMA-NET,大大寬頻股份有限公司,2004-02-13
AS18414,TWAREN-NET,國家高速網路與計算中心,2004-02-27
AS18420,TANET-NET,教育部,2004-03-03
AS18421,TAISHINBANK-NET,台新國際商業銀行,2004-03-11
AS7478,MKY-NET,瑪凱電信股份有限公司,2004-07-27
AS18422,ITRINET-NET,工業技術研究院,2004-08-18
AS9311,APOL-NET,亞太電信股份有限公司,2005-04-21
AS1659,TANET-NET,教育部,2005-05-26
AS18425,TWNTT-NET,台灣恩悌悌股份有限公司,2005-06-01
AS18426,NARL-NET,財團法人國家實驗研究院,2005-07-06
AS18427,PCHOME-NET,網路家庭國際資訊股份有限公司,2005-07-07
AS18429,CGNET-NET,大新店民主有線電視股份有限公司,2005-11-16
AS24154,APBT-NET,亞太電信股份有限公司,2006-01-19
AS24155,APBT-NET,亞太電信股份有限公司,2006-01-19
AS24156,STWN-NET,台灣索尼股份有限公司,2006-01-25
AS24157,VIBO-NET,台灣之星電信股份有限公司,2006-03-10
AS24158,TAIWANMOBILE-NET,台灣大哥大股份有限公司,2006-03-31
